name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Delhi,1/09/2021,27,23,25.7,31.2,23,26.6,25.4,98.2,104.598,100,12.5,rain,0,0,,20.5,60.3,1007.4,94.9,2.6,178.7,15.4,6,,2021-09-01T05:59:07,2021-09-01T18:42:47,0.81,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,2/09/2021,32,24,27.7,46.2,24,32.9,26.2,92.4,39.76,100,4.17,rain,0,0,,13,96.8,1005.1,86.2,2.8,109.3,9.2,5,,2021-09-02T05:59:37,2021-09-02T18:41:39,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,3/09/2021,34,26,29.3,43.8,26,34.9,26.1,84.3,5.231,100,12.5,rain,0,0,,14.8,144.4,1003.5,82.9,3.3,164.1,14.1,6,,2021-09-03T06:00:07,2021-09-03T18:40:30,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
Delhi,4/09/2021,32,26,28.1,44.1,26,32.9,26.2,89.7,0,0,0,,0,0,33.5,14.8,156.4,1003.4,79.7,3.5,145,12.3,5,,2021-09-04T06:00:36,2021-09-04T18:39:21,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
Delhi,5/09/2021,33.6,26.7,30,44.2,30.1,38,26.6,82.8,0.448,100,4.17,rain,0,0,,11.4,185,1003.3,68.8,3.5,213.8,18.5,8,,2021-09-05T06:01:06,2021-09-05T18:38:12,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
Delhi,6/09/2021,35,28,31.1,50.4,34.4,41.8,27.8,83.2,5.104,100,4.17,rain,0,0,,10.8,103.5,1004.7,65.1,3.3,228.5,19.7,8,,2021-09-06T06:01:36,2021-09-06T18:37:02,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
Delhi,7/09/2021,33.2,27,29.8,44.3,30.6,38.5,27.3,86.8,4.403,100,4.17,rain,0,0,,16.6,95.2,1006,78.4,3.2,209.3,18.2,7,,2021-09-07T06:02:05,2021-09-07T18:35:51,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
Delhi,8/09/2021,32.4,27,29.4,42.3,31.8,36.2,26.3,84.3,0,0,0,,0,0,,18.4,89.9,1005.1,69.9,3.6,259.4,22.4,9,,2021-09-08T06:02:34,2021-09-08T18:34:41,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
Delhi,9/09/2021,33.3,27.9,29.6,46.2,33.2,37.6,26.7,84.6,4.253,100,4.17,rain,0,0,,17.8,90.6,1004.1,73.1,3.3,188.3,16.3,7,,2021-09-09T06:03:04,2021-09-09T18:33:30,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,remote"
Delhi,10/09/2021,32.6,25,28.3,46.2,25,34.4,26.6,91,11.135,100,12.5,rain,0,0,33.5,20.5,85.6,1003.8,88.6,2.9,201.3,17.3,7,,2021-09-10T06:03:33,2021-09-10T18:32:19,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,11/09/2021,26.2,24,25.1,26.2,24,25.1,24.7,98,127.15,100,20.83,rain,0,0,37.1,18.4,87.2,1003.9,97.1,2.1,111.2,9.5,4,,2021-09-11T06:04:02,2021-09-11T18:31:08,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,12/09/2021,32.9,24,26.8,44.1,24,30.5,25.8,94.6,0.979,100,4.17,rain,0,0,37.1,18.4,110.2,1002.3,91.1,2.9,128.1,11.2,5,,2021-09-12T06:04:32,2021-09-12T18:29:56,0.19,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,13/09/2021,33,25,27.6,44.1,25,32.1,26.4,93.5,1.851,100,4.17,rain,0,0,51.8,23.6,105,1002.5,83.7,2.6,216.4,18.7,8,,2021-09-13T06:05:01,2021-09-13T18:28:44,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,14/09/2021,34.7,24,28.8,47.9,24,34.6,25.9,85.6,0.747,100,8.33,rain,0,0,29.5,20.3,50.2,1004.7,75.1,3.1,272.8,23.5,9,,2021-09-14T06:05:30,2021-09-14T18:27:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
